Suite,Benchmark,Compile Units Base,Compile Units ASAN--,Fallback Units Base,Fallback Units ASAN--,Original Checks,ASAN-- Checks,Removed Checks,Removed / Original,Original Core Checks,ASAN-- Core Checks,Core / All Original,Removed Read Checks,Removed Store Checks,Runtime Native,Runtime ASan,Runtime ASAN--,Sanitizer Overhead %,ASAN-- Overhead %,Overhead Reduction %,Runtime Reduction vs ASan %,Native Status,ASan Status,ASAN-- Status
CPU2006,445.gobmk,67,67,0,0,24762,17221,7541,30.453921331071804,23828,16287,96.22809143041758,5912,1629,17.620389,43.659456,37.8077,147.77804848689777,114.56790766651064,22.472986455313478,13.40318120317395,S,S,S
CPU2006,447.dealII,116,116,0,0,105280,65338,39942,37.93882978723404,84503,44649,80.2650075987842,23120,16734,61.54746,105.131275,101.27856,70.81334469367216,64.55359815011049,8.839783759177584,3.664670670074156,S,S,S
CPU2006,450.soplex,63,63,0,0,14520,10417,4103,28.257575757575758,13528,9545,93.16804407713498,2973,1010,0.025029,0.05115,0.052037,104.36293899077072,107.90682807942787,-3.395735232188656,-1.7341153470185708,S,S,S
CPU2006,453.povray,100,100,0,0,41049,27602,13447,32.75841067991912,39400,25955,95.9828497649151,8645,4800,0.718835,2.266231,2.175449,215.26442090326708,202.63537529474775,5.86675938156748,4.005858184801105,S,S,S
CPU2006,454.calculix,205,205,0,0,35960,23927,12033,33.46218020022247,33277,21244,92.53893214682981,9326,2707,0.047638,0.10914,0.105728,129.10281707880264,121.94046769385784,5.54778706383532,3.126259849734285,S,S,S
CPU2006,456.hmmer,57,57,0,0,14539,12435,2104,14.471421693376435,14153,12049,97.34507187564482,1655,449,5.062632,11.179365,10.214319,120.82120525450006,101.7590652451136,15.777147702866886,8.632386544316255,S,S,S
CPU2006,458.sjeng,19,19,0,0,6577,2709,3868,58.81100805838528,6277,2409,95.43864984035274,2671,1197,4.063464,10.269126,8.462558,152.7185179935149,108.25970157481399,29.111608076624222,17.592227420327696,S,S,S
CPU2006,459.GemsFDTD,0,0,0,0,0,0,0,,0,0,,0,0,2.599974,4.508993,4.475043,73.42454193772708,72.11875964913497,1.778400319745373,0.7529397362116091,S,S,S
CPU2006,462.libquantum,16,16,0,0,1592,878,714,44.84924623115578,1444,730,90.7035175879397,480,234,0.07909,0.149642,0.107588,89.20470350233913,36.032368188140104,59.607098310466036,28.10307266676467,S,S,S
CPU2006,464.h264ref,42,42,0,0,39293,24796,14497,36.894612271905935,38859,24362,98.89547756597867,12606,1891,22.035355,52.538497,45.586543,138.42818506894943,106.8790949816783,22.79094396242853,13.232114348455761,S,S,S
CPU2006,465.tonto,0,0,0,0,0,0,0,,0,0,,0,0,0.482929,1.772718,1.765398,267.07631970745183,265.56056894491735,0.5675346897825918,0.41292523683970006,S,S,S
CPU2006,470.lbm,2,2,0,0,584,540,44,7.534246575342466,565,521,96.74657534246576,30,14,1.729763,3.358061,3.368031,94.13416751312175,94.71054705182156,-0.6122957836956154,-0.29689752508962863,S,S,S
CPU2006,471.omnetpp,85,85,0,0,12682,9334,3348,26.399621510802714,10479,7281,82.62892288282605,2195,1003,0.498654,640.182918,639.427671,128282.18845131094,128130.73132873696,0.11806558993296423,0.1179736257817395,S,S,S
CPU2006,473.astar,11,11,0,0,2042,1073,969,47.45347698334966,1909,944,93.486777668952,698,267,10.525973,20.61046,17.544784,95.80574641413196,66.68087596272572,30.399920194254797,14.874369616204586,S,S,S
CPU2006,481.wrf,29,29,0,0,8308,6820,1488,17.91044776119403,7439,5951,89.54020221473279,1248,240,0.043084,0.115632,0.123592,,,,,VE,VE,VE
CPU2006,482.sphinx3,44,44,0,0,6778,5768,1010,14.901150781941574,6476,5466,95.54440838005311,755,255,1.513671,2.717128,2.601332,79.5058503466077,71.8558392147303,9.62194743975065,4.2617057422396,S,S,S
CPU2006,483.xalancbmk,738,738,0,0,155894,103746,52148,33.45093460941409,128187,76223,82.22702605616638,31816,20148,0.308803,1.411408,1.531282,357.0577358380586,395.8766592293469,-10.871889751996411,-8.49322095382767,S,S,S
CPU2006,998.specrand,2,2,0,0,16,10,6,37.5,8,2,50.0,3,3,,,,,,,,NR,NR,NR
CPU2006,999.specrand,2,2,0,0,16,10,6,37.5,8,2,50.0,3,3,,,,,,,,NR,NR,NR
